1051,100,157,135
1205,100,135,118
1059,233,160,112
1338,100,110,118
1217,221,132,138
1318,213,225,132
997,328,211,149
812,466,191,129
975,469,225,132
1537,325,197,118
1537,449,166,107
699,573,127,169
809,601,174,121
986,609,157,115
1124,559,242,135
1450,547,200,152
629,753,157,118
781,727,247,143
1419,826,202,141
1515,696,124,118
1025,702,149,160
1177,691,225,149
502,857,298,152
806,862,188,132
994,871,211,110
491,1003,292,101
789,978,186,138
950,978,239,127
1436,949,188,141
424,1118,180,115
635,1110,236,110
1096,1062,290,143
637,1202,214,138
457,1202,200,141
1025,1172,273,155
1281,1172,233,129
1264,1298,174,155
221,1374,143,155
345,1366,155,160
486,1349,231,180
705,1343,464,146
221,1543,157,183
351,1537,143,188
483,1517,270,216
980,1495,163,169
823,1501,183,172
747,1531,84,141
559,1787,146,143
294,1765,259,177
696,1779,228,146
