146,312,95,71
521,302,80,78
235,320,65,62
683,242,86,71
587,244,99,61
121,384,77,76
186,385,56,77
222,381,59,76
259,384,51,72
306,387,66,68
363,380,48,72
402,376,78,72
474,381,72,69
542,383,95,67
626,381,54,63
121,460,86,77
199,458,84,68
274,453,83,72
347,449,78,79
418,439,100,79
118,542,81,66
186,536,71,65
252,529,38,76
289,531,49,76
332,524,87,71
410,517,144,65
555,513,55,56
133,599,75,81
194,595,84,86
266,596,130,73
399,593,86,66
483,592,47,66
241,686,48,63
273,674,91,70
160,687,83,57
129,754,73,67
193,739,55,84
241,751,62,73
298,747,51,70
354,327,65,55
513,440,85,67
458,239,98,71
363,255,114,63
670,185,90,66
576,179,98,60
590,311,65,66
653,314,69,64
267,246,117,67
297,305,71,78
413,305,118,73
358,668,138,72
