298,691,88,84
460,763,105,91
676,180,84,89
268,510,89,98
550,657,63,89
391,311,86,92
302,318,95,93
487,294,93,96
323,410,77,92
316,601,102,78
567,292,83,88
243,699,70,87
701,95,94,78
631,738,113,85
625,378,54,89
603,646,73,89
602,462,82,92
106,540,99,96
663,637,73,88
480,661,84,87
595,546,128,91
646,286,83,87
719,254,86,116
198,442,51,90
237,424,81,90
675,457,126,81
353,495,80,81
440,664,51,93
23,548,95,113
510,566,83,88
600,112,92,75
543,388,66,88
397,403,109,87
541,463,83,91
461,479,81,88
557,195,122,85
192,529,71,94
478,395,72,99
360,775,112,76
91,648,101,93
412,578,102,91
270,786,97,76
525,124,83,75
247,323,68,126
705,358,62,92
760,353,71,87
659,370,65,93
591,387,52,87
14,461,43,69
41,447,27,77
44,446,70,84
105,447,101,80
414,492,66,100
26,650,98,119
169,629,69,98
375,675,77,93
187,726,81,87
114,734,98,82
30,750,96,105
151,825,67,79
202,806,71,81
89,839,88,75
722,614,83,103
781,626,47,54
537,743,81,99
