138,72,96,66
231,58,98,80
316,59,128,82
207,143,79,68
293,139,62,70
343,131,160,78
202,282,0,0
145,230,119,80
263,220,242,95
606,216,193,97
832,227,78,86
184,319,101,85
283,323,108,82
378,322,129,80
540,323,105,74
633,317,222,85
847,316,118,85
970,302,118,98
129,401,97,67
216,388,98,81
307,396,132,68
427,381,174,87
598,385,242,79
842,400,112,58
950,397,143,72
1090,386,109,79
124,486,112,86
222,486,90,82
296,481,59,93
353,482,104,86
453,478,176,89
620,482,105,84
715,479,198,89
903,484,132,81
1020,482,94,82
190,589,109,78
286,590,109,79
385,583,72,79
438,601,55,43
480,589,144,67
598,590,66,70
737,657,0,0
736,582,2,0
666,586,75,83
743,588,83,77
832,579,140,77
98,658,104,77
385,813,231,81
747,813,92,79
843,813,85,71
622,811,121,83
156,897,104,81
441,895,121,85
653,897,92,75
749,903,148,77
741,729,48,81
793,731,40,75
618,726,119,75
495,729,81,83
329,729,108,81
576,735,42,73
327,981,77,56
408,981,29,54
439,985,121,50
955,578,61,86
1005,581,151,84
196,658,96,69
279,648,188,81
459,647,122,80
629,661,129,63
754,661,124,67
870,658,163,66
69,737,133,82
192,722,86,91
262,720,96,96
429,735,79,77
837,726,119,77
928,725,126,75
188,823,214,67
85,897,89,76
338,900,111,77
556,897,104,85
209,982,44,71
168,968,163,63
99,970,109,92
547,980,62,73
594,962,107,85
693,978,87,72
766,974,145,78
283,1045,113,83
387,1047,75,81
456,1051,79,75
528,1052,95,78
614,1053,64,74
696,1061,36,47
717,1040,150,79
523,1136,154,92
