1437,4194,66,96,DIŠ
939,4226,54,90,BAD
981,4205,108,102,ZE₂
1086,4202,144,105,DIM₂
1224,4202,135,102,DI
1350,4196,90,99,HI
945,4313,48,87,BAD
993,4310,105,102,ZE₂
1089,4304,132,99,DIM₂
1218,4304,144,102,DI
1353,4289,66,105,HI
954,4412,57,105,BAD
1002,4403,114,96,ZE₂
960,4508,66,90,BAD
1005,4493,144,102,ZE₂
1143,4487,108,93,U
966,4595,57,102,BAD
1014,4598,114,84,ZE₂
1122,4583,135,93,TA
1335,4595,60,78,DIŠ
1515,4565,84,108,ŠU
1260,4490,105,87,ŠU
960,4691,72,102,BAD
1020,4685,120,108,ZE₂
1128,4676,102,102,TA
1332,4673,60,99,DIŠ
1485,4670,111,87,ŠU
1587,4559,93,105,SI
1593,4670,87,90,SI
1677,4553,120,99,|LAGAB.LAGAB|
1674,4652,114,90,|LAGAB.LAGAB|
1800,4553,129,90,MI
1794,4637,138,102,MI
1377,4481,105,93,SI
1497,4469,135,96,DIB
1638,4478,114,87,DIB
1752,4457,183,90,TUM
1344,4400,75,72,DIŠ
1557,4370,117,102,ŠE
1668,4367,189,87,RI
1113,4400,168,84,SAG
1272,4400,75,84,ZA
1410,4283,120,99,IB
1521,4274,129,93,|HI×AŠ₂|
1875,4271,57,93,GAR
1797,4268,78,87,MEŠ
1044,6206,213,117,DUB
1041,6434,45,96,DIŠ
1089,6449,60,84,AŠ
1146,6446,48,84,SUR
1002,6035,66,90,BAD
1218,6029,126,105,ZE₂
1119,6047,93,78,TA
1068,6041,57,96,MIN
1005,5939,63,93,BAD
1071,5942,150,81,|U.KA|
1218,5924,111,96,NU
1014,5843,48,99,BAD
1068,5843,135,102,ZE₂
969,4791,57,105,BAD
1020,4787,114,87,ZE₂
1266,4778,147,102,IM
1128,4775,147,117,DIM₂
1506,4769,147,93,RI
1404,4775,99,90,GUR
1644,4751,138,108,|DIM×ŠE|
999,5756,66,87,BAD
1068,5774,87,75,ZE₂
1290,5750,117,99,MI
1002,5672,66,90,BAD
1077,5687,93,90,ZE₂
1257,5657,138,90,MI
1398,5657,111,90,AD
1002,5591,57,84,BAD
1059,5585,114,99,ZE₂
1170,5591,51,81,DIŠ
1350,5573,132,84,DIM₂
1482,5558,132,105,KI
1005,5486,63,96,BAD
1062,5486,114,108,ZE₂
1179,5489,51,84,DIŠ
1347,5474,138,96,DIM₂
1494,5477,114,93,KI
1008,5390,60,99,BAD
1065,5396,114,99,ZE₂
1176,5396,129,84,KA
1293,5390,69,96,GAR
1359,5387,129,93,DIM₂
1497,5372,165,102,KA
993,5306,69,87,BAD
1065,5306,102,90,ZE₂
1494,5276,99,90,KU
1323,5288,78,90,|U.U.U|
1401,5279,90,120,GIŠ
1164,5306,159,81,EGIR
993,5192,60,108,BAD
1056,5204,99,102,ZE₂
1146,5192,180,111,EGIR
1317,5180,90,111,|U.U.U|
1413,5174,69,108,GIŠ
1494,5165,102,114,KU
990,5099,66,84,BAD
1050,5090,111,111,ZE₂
1167,5078,117,123,ŠA₃
1296,5087,96,96,GAR
1425,5078,180,84,GA
990,4991,54,102,BAD
1044,4985,132,108,ZE₂
1176,4979,87,99,AŠ
1257,4964,165,126,UZU
1428,4964,102,108,ME
1536,4955,132,117,GAN
1671,4952,87,129,NI
969,4895,63,90,BAD
1026,4898,105,84,ZE₂
1347,4874,75,84,U
1404,4868,135,84,SIG
1533,4871,72,84,GAR
1590,4859,141,93,DAR
1725,4862,66,90,A
1137,4895,162,78,SAG
1287,4889,69,87,ZA
