579,195,157,84,E
485,271,98,86,MU
579,269,158,72,U₂
724,244,182,93,MUŠ
895,254,90,69,TAR
980,245,144,76,HU
1108,250,120,86,LA
372,350,96,85,PI
461,355,138,68,TU
600,343,77,69,KUR
671,339,113,70,URI
768,336,111,71,KI
306,434,96,69,IGI
202,437,119,72,|IGI.DIB|
396,429,138,70,I
522,423,110,77,AN
614,418,97,74,NA
706,412,95,77,NA
796,408,74,81,A
867,397,116,88,TUR
975,386,129,96,SAL
198,507,143,71,AK
340,503,135,68,GIŠ
474,502,105,65,TAG
566,487,143,73,BU
695,476,71,74,U
796,490,154,64,TU
936,475,112,73,SAL
204,571,95,75,IB
304,574,247,58,IGI
551,560,136,71,ŠA₃
666,565,146,70,BA
816,559,106,76,GAR
202,632,126,83,MAŠ₂
311,632,229,68,MI
522,638,130,63,IGI
645,633,92,77,UD
742,638,150,71,MAH
895,599,68,96,HI
959,607,118,82,E
203,717,99,71,NI
303,706,138,80,E₂
441,704,94,75,MU
536,704,177,72,|I.A|
804,699,118,77,UR
927,690,83,69,KUR
214,793,52,70,A
270,789,84,69,NA
354,780,104,82,KU
461,782,58,71,DIŠ
621,747,94,108,ŠAR₂
717,766,107,78,KAK
825,777,88,61,A
525,779,93,76,AN
210,846,109,93,ŠA
320,865,144,53,AŠ
214,909,157,87,|U.GUD|
352,912,93,69,TU
442,914,77,72,E
511,903,116,86,HA@g
604,911,95,73,RI
691,907,84,74,E
762,893,119,89,|IGI.ERIN₂|
867,887,124,93,DIM
213,1002,102,53,AŠ
308,984,64,72,KUR
374,982,90,71,MU
452,986,193,71,IGI
646,982,128,67,LA
774,984,100,59,MAŠ
1017,116,204,87,|U.KA|
866,119,150,84,|I.A|
772,133,109,76,MEŠ
