646,138,122,121,|ŠU₂.AN|
759,145,115,110,MUŠ
866,134,110,131,TE
959,145,152,103,ŠIR
1104,158,93,95,AN
1185,157,62,88,U
1230,145,121,112,KI
1326,157,90,98,AN
1414,146,65,108,UD
1479,150,84,102,DI
1834,164,103,100,TAR
629,257,153,115,|PA.LU|
784,258,84,105,KI
865,262,95,88,I
949,250,129,102,NI
1075,250,69,115,GAR
1144,255,126,100,KAL
1264,255,112,102,TE
1378,257,84,95,NI
1450,257,83,81,ŠE
1538,260,71,76,E
1844,265,103,93,UD
625,377,121,102,AN
746,362,91,114,UD
842,360,102,115,DI
949,360,91,127,TAR
1042,374,108,71,AN
1150,356,129,86,TA
1264,369,79,79,AŠ
1336,363,100,91,IGI
1428,355,105,108,KA
1529,351,100,100,AK
1829,358,146,103,MES
854,2503,104,96,ZA
1301,2854,185,104,PA
633,1076,228,127,DIM₂
1374,461,164,108,UR
735,798,75,101,A
644,488,149,98,|IGI.UR|
630,807,102,88,A
801,489,93,82,GIR₂
761,2413,104,107,AN
871,2405,116,92,UD
621,2965,87,85,KAK
808,2942,82,107,NI
892,2945,127,104,KU
1028,2950,156,98,NU
1197,2970,220,73,DUG
1422,2947,214,96,LUL
1823,1374,99,76,NI
1827,1273,96,87,NI
1542,460,101,107,RU
703,1481,107,79,KI
897,3142,84,116,ŠU₂
999,3142,177,105,ŠID
1184,3127,177,124,NU
714,2960,90,90,NI
612,2876,133,73,LUL
746,2865,105,76,BI
854,2854,92,93,KU
955,2860,99,81,NU
1484,2764,157,125,MA
900,484,64,76,TAB
964,483,102,79,AN
1847,545,172,124,KU
1777,556,67,84,RA
1490,569,134,76,DU
633,588,163,85,BAL
990,2424,92,88,U
1155,2508,218,82,NIM
1400,2511,131,79,MA
897,2585,81,79,TAB
1098,2580,98,101,NI
1196,2591,101,82,I
696,2767,110,96,UB
1312,2768,159,79,IGI
811,797,69,88,|PAP.PAP|
1527,656,124,85,BA
620,2781,74,93,LU
803,2759,150,96,DUG
1147,2759,152,93,UŠ
1078,2413,93,93,AMAR
1162,2415,77,88,UD
1252,2413,65,107,DIŠ
1300,2409,107,102,DI
1409,2409,95,98,NI
1485,2421,117,83,|I.A|
646,2583,146,98,|IGI.UR|
789,2580,102,91,GIR₂
1281,2588,52,100,DIŠ
1316,2587,146,98,|IGI.ERIN₂|
1443,2590,95,107,DIM
796,1474,248,96,DIM
1162,1536,169,100,LUL
1171,1452,155,95,IGI
1326,1448,105,105,|HI×AŠ₂|
1193,1352,222,112,LUL
625,903,143,85,LI
769,894,76,88,|HI×ŠE|
624,991,142,85,LIŠ
766,987,96,87,SI
628,1210,192,85,DIM₂
1391,1271,107,86,KID
1186,1264,203,91,LIL
893,1381,134,92,BAD
809,1395,93,68,AŠ
660,1387,154,97,U₂
763,1286,276,128,ŠINIG
658,1297,113,97,GIŠ
1412,1368,99,113,SUR
1491,1376,122,84,AN
1444,1464,113,98,AN
1550,1456,110,90,NI
1493,1271,136,104,AN
823,1191,80,84,GIŠ
875,1176,191,108,ŠINIG
1057,1155,157,112,ZI
1210,1154,105,107,HI
1317,1154,49,140,DIŠ
1355,1155,90,122,KI
1433,1163,78,105,ŠU₂
1505,1163,57,113,A
1555,1161,74,117,A
1876,1183,125,85,TUR
1820,1171,63,74,I
1499,1064,95,92,AN
1818,1059,110,122,E
861,1087,79,108,TAR
635,2686,56,105,DIŠ
677,2667,226,114,|IGI.DUB|
893,2667,103,119,UD
1020,2753,121,101,LU
982,2671,177,79,MI
986,2584,131,110,AN
1169,2684,160,85,AN
1333,2674,111,90,NU
1462,2688,150,81,TI
1054,2855,132,106,LU
1098,2855,196,108,GAR
1529,2590,77,103,PAD
912,1634,146,111,NA
1068,1632,119,101,ME
1162,1617,143,110,LAM
1313,1624,85,111,GAR
1436,1625,141,103,MA
1331,1550,107,104,KAL
1444,1552,119,81,AN
1564,1550,81,91,NI
1119,1840,162,95,AB₂
1279,1849,237,78,BAL
843,1637,78,96,DIN
1837,463,102,100,MA
802,579,95,117,HA
625,679,183,117,|IGI.UR|
788,693,70,90,ŠU₂
1524,749,127,98,NI
1540,856,78,106,A
821,3140,75,116,MIN
728,1865,243,104,|IGI.UR|
