95,590,118,75
202,585,165,71
522,571,114,83
604,566,134,83
836,571,78,75
141,681,1,0
79,650,135,71
224,641,205,73
424,639,88,74
541,622,107,87
721,614,120,76
824,623,89,69
42,707,88,68
123,701,144,81
263,699,120,79
384,695,123,88
564,687,169,82
725,674,85,71
802,672,126,86
133,814,0,0
92,755,134,86
608,739,134,68
732,741,107,74
828,736,103,70
85,818,129,77
198,812,57,81
250,810,89,77
332,808,109,82
434,812,128,75
547,799,95,84
625,807,120,75
757,794,80,86
837,789,86,79
86,868,77,80
158,872,140,75
517,863,114,69
657,852,101,75
118,932,71,76
178,934,107,79
253,921,56,86
298,924,86,82
375,920,77,93
443,922,61,83
479,914,56,95
532,914,49,86
574,911,116,85
651,903,101,86
719,910,85,80
788,908,64,77
832,899,87,90
345,982,148,85
605,973,128,79
787,967,128,66
231,1048,105,79
334,1047,137,75
506,1024,190,82
688,1023,126,75
801,1018,112,70
248,1098,90,75
333,1101,134,79
510,1092,184,71
690,1071,114,94
796,1069,122,72
240,1162,156,71
451,1264,1,0
382,1156,166,78
536,1144,107,80
785,1126,116,84
236,1222,160,69
383,1216,170,80
537,1196,105,86
787,1189,114,73
206,1283,88,77
318,1269,227,73
538,1256,142,82
776,1234,115,89
318,1333,132,85
430,1331,136,78
581,1319,205,77
777,1309,108,74
284,1406,77,74
346,1411,73,76
411,1401,64,76
468,1397,66,72
516,1401,100,73
597,1393,108,71
697,1385,86,78
353,1465,159,77
503,1454,128,77
457,1553,0,1
419,1519,64,71
497,1515,82,76
703,515,127,76
817,518,140,76
366,582,152,79
368,523,152,76
166,477,0,1
372,470,152,77
686,455,121,83
824,462,128,79
109,420,87,87
206,418,121,86
317,421,95,76
403,409,104,79
503,410,135,82
661,407,157,81
829,405,130,73
530,361,81,67
601,351,80,79
657,350,127,76
777,344,104,81
870,346,82,84
720,300,86,59
797,290,164,75
772,243,130,70
887,246,68,73
848,181,59,75
897,189,75,71
902,131,70,67
